RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,PH,PH2,PH3,DO_,DO_2,DO_3,BOD,BOD2,BOD3,COD,COD2,COD3,SS,SS2,SS3,COLON,COLON2,COLON3,HEX,HEX2,HEX3,ALLZN,ALLZN2,ALLZN3,BOTTOMDO,BOTTOMDO2,BOTTOMDO3,LAS,LAS2,LAS3,NONYLPHENOL,NONYLPHENOL2,NONYLPHENOL3,COLI,COLI2,COLI3
2730250004,2730250,27,601,71,2007,2007,8,070947,13,10.0000,7.9,7.9000,,1.4,1.4000,,,,,2.1,2.1000,,,,,,,,,,,,,,,,,,,,,,,,,
2730250005,2730250,27,601,71,2007,2007,11,060851,11,1.0000,8.2,8.2000,,7.2,7.2000,,,,,2.3,2.3000,,2,2.0000,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730250006,2730250,27,601,71,2007,2007,11,060851,13,9.7000,8.2,8.2000,,6.6,6.6000,,,,,2.3,2.3000,,,,,,,,,,,,,,,,,,,,,,,,,
2730250007,2730250,27,601,71,2007,2008,2,180940,11,1.0000,8.3,8.3000,,12,12.0000,,,,,4.1,4.1000,,6,6.0000,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730250008,2730250,27,601,71,2007,2008,2,180940,13,9.6000,8.3,8.3000,,11,11.0000,,,,,4,4.0000,,,,,,,,,,,,,,,,,,,,,,,,,
2730060001,2730060,27,601,53,2007,2007,4,040845,11,1.0000,8.3,8.3000,,9,9.0000,,2.6,2.6000,,4.2,4.2000,,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730060002,2730060,27,601,53,2007,2007,5,170843,11,1.0000,8.2,8.2000,,8.7,8.7000,,2.4,2.4000,,5,5.0000,,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730060003,2730060,27,601,53,2007,2007,6,060834,11,1.0000,8.3,8.3000,,9.8,9.8000,,2.7,2.7000,,5.8,5.8000,,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730060004,2730060,27,601,53,2007,2007,7,200846,11,1.0000,8.6,8.6000,,9.7,9.7000,,3.8,3.8000,,6,6.0000,,10,10.0000,,,,,,,,,,,,,,,,,,,,,,
2730060005,2730060,27,601,53,2007,2007,8,020913,11,1.0000,8.2,8.2000,,8.6,8.6000,,3.7,3.7000,,4.5,4.5000,,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730060006,2730060,27,601,53,2007,2007,9,130916,11,1.0000,7.9,7.9000,,4.7,4.7000,,1.4,1.4000,,3.4,3.4000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730060007,2730060,27,601,53,2007,2007,10,110852,11,1.0000,7.9,7.9000,,5.7,5.7000,,0.9,0.9000,,3.4,3.4000,,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730060008,2730060,27,601,53,2007,2007,11,080848,11,1.0000,7.9,7.9000,,6.7,6.7000,,0.9,0.9000,,2.5,2.5000,,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730060009,2730060,27,601,53,2007,2007,12,120842,11,1.0000,8,8.0000,,7.8,7.8000,,0.6,0.6000,,3.3,3.3000,,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730060010,2730060,27,601,53,2007,2008,1,100840,11,1.0000,7.9,7.9000,,8.7,8.7000,,0.6,0.6000,,3.7,3.7000,,<1,0.0000,,,,,,,,,,,,,,,,,,,,,,
2730060011,2730060,27,601,53,2007,2008,2,070853,11,1.0000,8.3,8.3000,,11,11.0000,,2.6,2.6000,,4.3,4.3000,,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730050003,2730050,27,601,52,2007,2007,6,060819,11,1.0000,8.2,8.2000,,8.7,8.7000,,3.7,3.7000,,6.1,6.1000,,7,7.0000,,,,,,,,,,,,,,,,,,,,,,
2730050004,2730050,27,601,52,2007,2007,7,200829,11,1.0000,8.2,8.2000,,8.9,8.9000,,4.1,4.1000,,6.4,6.4000,,8,8.0000,,,,,,,,,,,,,,,,,,,,,,
2730050005,2730050,27,601,52,2007,2007,8,020848,11,1.0000,8.1,8.1000,,8.5,8.5000,,4.2,4.2000,,5.3,5.3000,,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730050006,2730050,27,601,52,2007,2007,9,130901,11,1.0000,7.8,7.8000,,3.9,3.9000,,1.2,1.2000,,3.7,3.7000,,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730050007,2730050,27,601,52,2007,2007,10,110833,11,1.0000,7.9,7.9000,,4.5,4.5000,,0.8,0.8000,,3.5,3.5000,,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730050008,2730050,27,601,52,2007,2007,11,080827,11,1.0000,8.2,8.2000,,5.5,5.5000,,0.7,0.7000,,2.4,2.4000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730050009,2730050,27,601,52,2007,2007,12,120828,11,1.0000,8,8.0000,,7.2,7.2000,,0.8,0.8000,,2.7,2.7000,,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730050010,2730050,27,601,52,2007,2008,1,100826,11,1.0000,7.9,7.9000,,8.1,8.1000,,0.7,0.7000,,3.2,3.2000,,<1,0.0000,,,,,,,,,,,,,,,,,,,,,,
2730050011,2730050,27,601,52,2007,2008,2,070831,11,1.0000,8.2,8.2000,,9.9,9.9000,,1.4,1.4000,,4.3,4.3000,,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730050012,2730050,27,601,52,2007,2008,3,070825,11,1.0000,7.9,7.9000,,8.6,8.6000,,1.2,1.2000,,3.9,3.9000,,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730060012,2730060,27,601,53,2007,2008,3,070842,11,1.0000,8,8.0000,,8.2,8.2000,,0.5,0.5000,,2.9,2.9000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730070001,2730070,27,601,54,2007,2007,4,040913,11,1.0000,8.1,8.1000,,7.9,7.9000,,2,2.0000,,4.1,4.1000,,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730070002,2730070,27,601,54,2007,2007,5,170915,11,1.0000,7.7,7.7000,,7.8,7.8000,,2.5,2.5000,,7,7.0000,,8,8.0000,,,,,,,,,,,,,,,,,,,,,,
2730070003,2730070,27,601,54,2007,2007,6,060904,11,1.0000,7.8,7.8000,,6.4,6.4000,,3.2,3.2000,,5.9,5.9000,,7,7.0000,,,,,,,,,,,,,,,,,,,,,,
2730030006,2730030,27,601,03,2007,2007,6,050902,13,15.0000,8,8.0000,0,4.8,4.8000,0,,,,1.6,1.6000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730030007,2730030,27,601,03,2007,2007,7,101358,11,1.0000,8.3,8.3000,0,9.2,9.2000,0,,,,4.8,4.8000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730080009,2730080,27,601,55,2007,2007,12,120918,11,1.0000,8,8.0000,,7.6,7.6000,,0.8,0.8000,,3.4,3.4000,,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730080010,2730080,27,601,55,2007,2008,1,100915,11,1.0000,7.9,7.9000,,7.8,7.8000,,0.6,0.6000,,4.1,4.1000,,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730080011,2730080,27,601,55,2007,2008,2,070943,11,1.0000,8.3,8.3000,,12,12.0000,,3.1,3.1000,,6,6.0000,,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730200018,2730200,27,605,01,2007,2007,12,060911,13,18.4000,8.1,8.1000,0,8.2,8.2000,0,,,,1.8,1.8000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730200019,2730200,27,605,01,2007,2008,1,220911,11,1.0000,8.2,8.2000,0,9.4,9.4000,0,,,,1.9,1.9000,0,6,6.0000,,13,13.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730200020,2730200,27,605,01,2007,2008,1,220911,13,18.6000,8.2,8.2000,0,9.4,9.4000,0,,,,1.9,1.9000,0,13,13.0000,,,,,,,,,,,,,,,,,,,,,,
2730150010,2730150,27,602,03,2007,2007,8,071318,13,13.4000,8,8.0000,0,3,3.0000,1,,,,1.8,1.8000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730150011,2730150,27,602,03,2007,2007,9,041120,11,1.0000,8.6,8.6000,1,12,12.0000,0,,,,6.8,6.8000,1,4,4.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730200014,2730200,27,605,01,2007,2007,10,020930,13,18.5000,8.3,8.3000,0,6,6.0000,1,,,,1.8,1.8000,0,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730200015,2730200,27,605,01,2007,2007,11,060950,11,1.0000,8.2,8.2000,0,7.3,7.3000,1,,,,1.7,1.7000,0,2,2.0000,,2,2.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730200016,2730200,27,605,01,2007,2007,11,060950,13,18.0000,8.2,8.2000,0,6.9,6.9000,1,,,,1.6,1.6000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730200017,2730200,27,605,01,2007,2007,12,060911,11,1.0000,8.1,8.1000,0,8.1,8.1000,0,,,,1.9,1.9000,0,2,2.0000,,<1.8,0.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730180009,2730180,27,604,01,2007,2007,8,070915,11,1.0000,8.3,8.3000,0,9.4,9.4000,0,,,,3.3,3.3000,1,2,2.0000,,<1.8,0.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730180010,2730180,27,604,01,2007,2007,8,070915,13,15.0000,8.1,8.1000,0,6.7,6.7000,1,,,,2,2.0000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730180011,2730180,27,604,01,2007,2007,9,040845,11,1.0000,8.4,8.4000,1,8.9,8.9000,0,,,,4.1,4.1000,1,2,2.0000,,17,17.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730030008,2730030,27,601,03,2007,2007,7,101358,13,15.5000,8,8.0000,0,0.6,0.6000,1,,,,3,3.0000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730030009,2730030,27,601,03,2007,2007,8,071222,11,1.0000,8.4,8.4000,1,9.6,9.6000,0,,,,2.9,2.9000,0,2,2.0000,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730030010,2730030,27,601,03,2007,2007,8,071222,13,15.0000,7.8,7.8000,0,1.3,1.3000,1,,,,2,2.0000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730030011,2730030,27,601,03,2007,2007,9,041100,11,1.0000,8.6,8.6000,1,12,12.0000,0,,,,7.3,7.3000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730030012,2730030,27,601,03,2007,2007,9,041100,13,15.0000,7.8,7.8000,0,0.7,0.7000,1,,,,2,2.0000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730030013,2730030,27,601,03,2007,2007,10,021450,11,1.0000,8.2,8.2000,0,5,5.0000,0,,,,1.9,1.9000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730030014,2730030,27,601,03,2007,2007,10,021450,13,15.4000,8.2,8.2000,0,4.5,4.5000,0,,,,1.8,1.8000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730030015,2730030,27,601,03,2007,2007,11,061125,11,1.0000,8.2,8.2000,0,7.4,7.4000,0,,,,1.9,1.9000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730030016,2730030,27,601,03,2007,2007,11,061125,13,15.2000,8.2,8.2000,0,3.8,3.8000,0,,,,1.8,1.8000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730030017,2730030,27,601,03,2007,2007,12,061135,11,1.0000,8.1,8.1000,0,8.3,8.3000,0,,,,2,2.0000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730030018,2730030,27,601,03,2007,2007,12,061135,13,15.0000,8.1,8.1000,0,8.2,8.2000,0,,,,2.2,2.2000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730030019,2730030,27,601,03,2007,2008,1,221345,11,1.0000,8.2,8.2000,0,9.3,9.3000,0,,,,1.8,1.8000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730030020,2730030,27,601,03,2007,2008,1,221345,13,15.5000,8.2,8.2000,0,9,9.0000,0,,,,1.7,1.7000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730030021,2730030,27,601,03,2007,2008,2,151041,11,1.0000,8.4,8.4000,1,12,12.0000,0,,,,3.6,3.6000,0,4,4.0000,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730030022,2730030,27,601,03,2007,2008,2,151041,13,15.0000,8.3,8.3000,0,10,10.0000,0,,,,2.3,2.3000,0,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730030023,2730030,27,601,03,2007,2008,3,041106,11,1.0000,8.2,8.2000,0,10,10.0000,0,,,,2.7,2.7000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730030024,2730030,27,601,03,2007,2008,3,041106,13,14.8000,8.2,8.2000,0,9.4,9.4000,0,,,,1.5,1.5000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730040001,2730040,27,601,51,2007,2007,4,040959,11,1.0000,8.2,8.2000,,8.8,8.8000,,1.9,1.9000,,4.1,4.1000,,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730040002,2730040,27,601,51,2007,2007,5,170958,11,1.0000,7.9,7.9000,,7.5,7.5000,,1.4,1.4000,,4.6,4.6000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730040003,2730040,27,601,51,2007,2007,6,060949,11,1.0000,8.2,8.2000,,9.8,9.8000,,2.1,2.1000,,6.7,6.7000,,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730040004,2730040,27,601,51,2007,2007,7,201001,11,1.0000,7.9,7.9000,,8.5,8.5000,,1.8,1.8000,,6,6.0000,,8,8.0000,,,,,,,,,,,,,,,,,,,,,,
2730040005,2730040,27,601,51,2007,2007,8,021141,11,1.0000,8.2,8.2000,,8.9,8.9000,,4.1,4.1000,,5.8,5.8000,,7,7.0000,,,,,,,,,,,,,,,,,,,,,,
2730040006,2730040,27,601,51,2007,2007,9,131043,11,1.0000,7.8,7.8000,,5.1,5.1000,,1.5,1.5000,,3.9,3.9000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730040007,2730040,27,601,51,2007,2007,10,111015,11,1.0000,7.8,7.8000,,5.6,5.6000,,0.6,0.6000,,3.3,3.3000,,<1,0.0000,,,,,,,,,,,,,,,,,,,,,,
2730040008,2730040,27,601,51,2007,2007,11,081020,11,1.0000,8.1,8.1000,,6.5,6.5000,,0.6,0.6000,,2.8,2.8000,,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730040009,2730040,27,601,51,2007,2007,12,120956,11,1.0000,8,8.0000,,8,8.0000,,1,1.0000,,3.4,3.4000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730040010,2730040,27,601,51,2007,2008,1,100952,11,1.0000,7.9,7.9000,,7.9,7.9000,,0.6,0.6000,,3.3,3.3000,,<1,0.0000,,,,,,,,,,,,,,,,,,,,,,
2730040011,2730040,27,601,51,2007,2008,2,071030,11,1.0000,8.1,8.1000,,10,10.0000,,1.1,1.1000,,4.3,4.3000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730040012,2730040,27,601,51,2007,2008,3,071006,11,1.0000,7.7,7.7000,,8.5,8.5000,,0.7,0.7000,,4.5,4.5000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730050001,2730050,27,601,52,2007,2007,4,040830,11,1.0000,8.2,8.2000,,8.6,8.6000,,2.2,2.2000,,4.1,4.1000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730050002,2730050,27,601,52,2007,2007,5,170829,11,1.0000,8.1,8.1000,,7.1,7.1000,,2.2,2.2000,,4.6,4.6000,,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2007,2007,4,241036,11,1.0000,8.2,8.2000,0,8.6,8.6000,0,,,,3.5,3.5000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730010002,2730010,27,601,01,2007,2007,4,241036,13,12.5000,8.1,8.1000,0,6.6,6.6000,0,,,,2.5,2.5000,0,9,9.0000,,,,,,,,,,,,,,,,,,,,,,
2730010003,2730010,27,601,01,2007,2007,5,221145,11,1.0000,8.4,8.4000,1,10,10.0000,0,,,,2.8,2.8000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730010004,2730010,27,601,01,2007,2007,5,221145,13,12.2000,8.2,8.2000,0,5.8,5.8000,0,,,,1.9,1.9000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730010005,2730010,27,601,01,2007,2007,6,051145,11,1.0000,8.3,8.3000,0,9.1,9.1000,0,,,,4,4.0000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730010006,2730010,27,601,01,2007,2007,6,051145,13,12.5000,8.1,8.1000,0,5.9,5.9000,0,,,,2,2.0000,0,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730010007,2730010,27,601,01,2007,2007,7,101103,11,1.0000,8.2,8.2000,0,7.5,7.5000,0,,,,4.2,4.2000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730010008,2730010,27,601,01,2007,2007,7,101103,13,12.6000,8.1,8.1000,0,2.3,2.3000,0,,,,2.5,2.5000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730010009,2730010,27,601,01,2007,2007,8,071200,11,1.0000,8.7,8.7000,1,14,14.0000,0,,,,5.9,5.9000,0,9,9.0000,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730010010,2730010,27,601,01,2007,2007,8,071200,13,12.2000,7.9,7.9000,0,2.8,2.8000,0,,,,2,2.0000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730010011,2730010,27,601,01,2007,2007,9,040950,11,1.0000,8.2,8.2000,0,7.5,7.5000,0,,,,5.3,5.3000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730170023,2730170,27,603,02,2007,2008,3,041223,11,1.0000,8.3,8.3000,0,11,11.0000,0,,,,2.3,2.3000,1,3,3.0000,,2,2.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730170024,2730170,27,603,02,2007,2008,3,041223,13,12.8000,8.3,8.3000,0,10,10.0000,0,,,,2,2.0000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730180001,2730180,27,604,01,2007,2007,4,240902,11,1.0000,8.3,8.3000,0,9.2,9.2000,0,,,,2.9,2.9000,1,2,2.0000,,<1.8,0.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730180002,2730180,27,604,01,2007,2007,4,240902,13,16.0000,8.2,8.2000,0,8,8.0000,0,,,,2.2,2.2000,1,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730180003,2730180,27,604,01,2007,2007,5,221343,11,1.0000,8.6,8.6000,1,13,13.0000,0,,,,3.6,3.6000,1,4,4.0000,,2,2.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730180004,2730180,27,604,01,2007,2007,5,221343,13,15.4000,8.3,8.3000,0,7.7,7.7000,0,,,,1.7,1.7000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730180005,2730180,27,604,01,2007,2007,6,051343,11,1.0000,8.3,8.3000,0,8.5,8.5000,0,,,,2.6,2.6000,1,2,2.0000,,<1.8,0.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730180006,2730180,27,604,01,2007,2007,6,051343,13,15.7000,8.2,8.2000,0,7.7,7.7000,0,,,,1.7,1.7000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730180007,2730180,27,604,01,2007,2007,7,100857,11,1.0000,8.5,8.5000,1,9.1,9.1000,0,,,,3.3,3.3000,1,2,2.0000,,2,2.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730180008,2730180,27,604,01,2007,2007,7,100857,13,15.5000,8.2,8.2000,0,6.4,6.4000,1,,,,2.1,2.1000,1,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
